Empresa,Cargo,Local,Data publicacao,Tipo de cargo,Remoto/Presencial
Smarthis,Engenheiro de Dados,Rio de Jan... - RJ,31/07/2023,Efetivo,Remoto
A3Data,Pessoa Engenheira de Dados Senior,Belo Horiz... - MG,31/07/2023,Efetivo,Remoto
YDUQS - Vagas Tech,PESSOA CIENTISTA DE DADOS (ESPECIALISTA),Rio de Jan... - RJ,31/07/2023,Efetivo,Remoto
YDUQS - Vagas Tech,PESSOA ENGENHEIRA DE DADOS (ESPECIALISTA),Rio de Jan... - RJ,31/07/2023,Efetivo,Remoto
alt.bank,Pessoa Cientista de Dados,Sao Paulo - SP,31/07/2023,Pessoa Juridica,Remoto
Globo,Analista de Dados Pleno | Inteligencia de Mercado - Dados & Servicos,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
V4 Company,Analista de Dados Pleno | Time de Dados,Sao Leopoldo - RS,31/07/2023,Pessoa Juridica,Presencial
Leega Consultoria,Engenheiro de Dados Azure Sr. ( Ingles & Espanhol),Sao Paulo - SP,31/07/2023,Efetivo,Remoto
OMNI SAUDE,Analista de Dados & PowerBI,Goiania - GO,31/07/2023,Pessoa Juridica,Presencial
Minsait an Indra Company,Analista de Banco de Dados Senior,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
Nuclea,Analista de Gestao de Dados Sr,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
Webedia Brasil,Analista de Dados Comerciais,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
ITAPEVA Recuperacao de Creditos,Trainee de Banco de Dados,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
Raizen,Analista de Dados Senior | Shell Box - Remoto,Sao Paulo - SP,31/07/2023,Efetivo,Remoto
foodtosave,Analista de Dados Senior (Comercial),Sao Paulo - SP,31/07/2023,Banco de Talentos,Remoto
GLOBAL HITSS,13420-Pessoa Administradora de Banco de Dados,Sao Paulo - SP,29/07/2023,Efetivo,Presencial
Zallpy Digital,Estagio de Analise de dados,Porto Alegre - RS,28/07/2023,Estagio,Remoto
Join Tecnologia & Design,Analista de Dados JR,Brasilia - DF,28/07/2023,Efetivo,Remoto
Vibra Energia,Gerente de Relacionamento com o Cliente - CRM e Dados,Rio de Jan... - RJ,28/07/2023,Efetivo,Presencial
#VempraFTD,Analista de Dados | Analytics,Sao Paulo - SP,28/07/2023,Efetivo,Presencial
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS SR,Sao Paulo - SP,28/07/2023,Efetivo,Presencial
GOL Linhas Aereas,Analista de Dados II,Sao Paulo - SP,28/07/2023,Efetivo,Presencial
Vagas MRM Brasil,Analista de Dados Pleno (AD) FREELANCER,Sao Paulo - SP,27/07/2023,Freelancer,Remoto
Carreiras Alumia,Engenheiro de Dados Jr,Sao Paulo - SP,27/07/2023,Efetivo,Presencial
Energisa TECH,ANL BANCO DADOS I,Cataguases - MG,27/07/2023,Efetivo,Presencial
Porto,Cientista de Dados Sr,Sao Paulo - SP,27/07/2023,Efetivo,Presencial
Banco Bmg,Coordenacao em Ciencia de Dados - IA,Sao Paulo - SP,27/07/2023,Efetivo,Presencial
Central IT,Analista de banco de Dados,Brasilia - DF,27/07/2023,Efetivo,Presencial
Somos BHS ,Pessoa Administradora de Banco de Dados Junior (HomeOffice),Belo Horiz... - MG,27/07/2023,Efetivo,Remoto
Central Ailos,Analista de Gestao de Projetos II - Foco em Dados,Blumenau - SC,27/07/2023,Efetivo,Presencial
V8.TECH,Analista de Banco de Dados Oracle - Senior,Nao informado,27/07/2023,Pessoa Juridica,Presencial
Stefanini Group,Analista de redes e de comunicacao de dados Senior - RJ,Nao informado,27/07/2023,Efetivo,Presencial
Vibra Energia,Cientista de Dados Sr,Rio de Jan... - RJ,27/07/2023,Efetivo,Presencial
Stefanini Group,Administrador de banco de dados Senior -,Nao informado,27/07/2023,Efetivo,Presencial
Stefanini Group,Administrador de Banco de Dados Pleno,Nao informado,27/07/2023,Efetivo,Presencial
Seja Globalweb,ANALISTA DE BANCO DE DADOS SR,Brasilia - DF,27/07/2023,Pessoa Juridica,Presencial
Seja Globalweb,SUPORTE EM ANALISE DE BANCO DE DADOS DE CAPACIDADE,Fortaleza - CE,27/07/2023,Efetivo,Presencial
Localiza&Co,ESPECIALISTA EM ENGENHARIA DE DADOS I,Belo Horiz... - MG,27/07/2023,Efetivo,Remoto
Localiza&Co,ENGENHEIRO DE DADOS III,Belo Horiz... - MG,27/07/2023,Efetivo,Remoto
DB,Dev Node.js Pl - Segmento de Inteligencia de Dados,Sao Paulo - SP,26/07/2023,Efetivo,Remoto
MTP Metodos e Tecnologia - Brasil,534 - Trainee Inovacao & Dados,Sao Paulo - SP,26/07/2023,Efetivo,Presencial
Stefanini Group,Engenheiro de Dados Pl,Nao informado,26/07/2023,Efetivo,Remoto
Strada,Gerente de Dados e Novos Negocios,Sao Paulo - SP,26/07/2023,Efetivo,Presencial
MESHA TECNOLOGIA,Analista de Dados,Maceio - AL,26/07/2023,Efetivo,Remoto
Leega Consultoria,Engenheiro de Dados GCP Senior (Big Query / DataFlow),Barueri - SP,26/07/2023,Pessoa Juridica,Remoto
VR,ESPECIALISTA EM CIENCIA DE DADOS,Sao Paulo - SP,25/07/2023,Efetivo,Presencial
Talentos Hapvida,Oportunidade Interna - Analista de Dados Junior - Auditoria Interna,Fortaleza - CE,25/07/2023,Efetivo,Presencial
Vitru Education,"Professor-Autor - Ciencia de Dados, Inteligencia Artificial e Novas Tecnologias",Florianopolis - SC,25/07/2023,Autonomo,Remoto
